5.506179430092723123e+03,5.488778230709813215e+03,5.482594941997066599e+03,5.468813637828584433e+03,5.460311434609287971e+03,5.461400597951309464e+03,5.455439684730508816e+03,5.449589068176679575e+03,5.452255552295850066e+03
4.440148610982039827e+03,4.385076669907263749e+03,4.365583660678092201e+03,4.322769751679860747e+03,4.296697514603361014e+03,4.299773672026051827e+03,4.281579268161909567e+03,4.263135603698356135e+03,4.271915651546951267e+03
3.066389803610426497e+03,2.975271256907169118e+03,2.943249428826207804e+03,2.874665521946395529e+03,2.833752061047001462e+03,2.837865893293841509e+03,2.809592703019325654e+03,2.779322321810585436e+03,2.794673283314424225e+03
1.770827750424642545e+03,1.666782668728908448e+03,1.630728747386540817e+03,1.556813027001011505e+03,1.514079969582049443e+03,1.517084374709883832e+03,1.488195492976210062e+03,1.454266588780777965e+03,1.472979831335495874e+03
8.328857542857981571e+02,7.434936255023769718e+02,7.133453370539273237e+02,6.558272389215902649e+02,6.239128928382720005e+02,6.245704065197021464e+02,6.040634732638393416e+02,5.761749334252988319e+02,5.930072300619176531e+02
2.928954075706161575e+02,2.338402579661874938e+02,2.150211052813339734e+02,1.835802194692365390e+02,1.670125028620586534e+02,1.657924282939839600e+02,1.566347758260765772e+02,1.402756614067824614e+02,1.509908560505710398e+02
7.413751779155498411e+01,4.622158433483541273e+01,3.856642280396334854e+01,2.969258601065849490e+01,2.517534331845645568e+01,2.355136197754725202e+01,2.297808921297335871e+01,1.820512419931637993e+01,2.120261249496495282e+01
3.376305334569489247e+01,2.590065326755548369e+01,2.480664593677104079e+01,2.642330153992927322e+01,2.664517346806160347e+01,2.580535698951751300e+01,2.828505853298096895e+01,3.050322527014603935e+01,2.769827430726157758e+01
4.017582955152229118e+01,4.091576217903846668e+01,4.182026629725277900e+01,4.448122522474131557e+01,4.466625594357739715e+01,4.463904506707159214e+01,4.676664380519378739e+01,5.104840159872006211e+01,4.585080534522329287e+01
4.260550269230672171e+01,4.446686748774255449e+01,4.454713019813960528e+01,4.411683020345141415e+01,4.275795956427324995e+01,4.296686650157692355e+01,4.382989182961810570e+01,4.686914856949537977e+01,4.227078245493039077e+01
3.096289492530900844e+01,3.119898727205707090e+01,2.978695728805346477e+01,2.698748384030561809e+01,2.496304051199520657e+01,2.488068083244996842e+01,2.517540875904857600e+01,2.604482948163578016e+01,2.343830267645357779e+01
1.708496031238886559e+01,1.594640908394014112e+01,1.375383405311014329e+01,1.079779214536205956e+01,9.253496089786487744e+00,8.867618361969260121e+00,9.220289335565869493e+00,8.769865143429742105e+00,7.793253158184542784e+00
8.469603787814595108e+00,6.791676299372491954e+00,4.721917959394017927e+00,2.933454368736647666e+00,2.320650723261151960e+00,1.865691941043003732e+00,2.336885352287920270e+00,1.704440885998784294e+00,1.449114212948249714e+00
